schoolName,longitude,latitude
Livingstone College,-80.484675,35.671441
Lock Haven University,-77.4621475,41.1423205
Longwood University,-78.3961973,37.29717979999999
Loras College,-90.68106069999999,42.5030898
Louisiana College,-92.42666009999999,31.3252793
Louisiana State University and Agricultural & Mechanical College,-91.1800023,30.4132579
Louisiana State University-Alexandria,-92.41433669999999,31.178112
Louisiana State University-Shreveport,-93.7042912,32.4285844
Louisiana Tech University,-92.6481104,32.5263753
Lourdes University,-83.70723860000001,41.7102371
Loyola Marymount University,-118.4165979,33.9702454
Loyola University Chicago,-87.65825919999999,41.9989483
Loyola University Maryland,-76.6197116,39.3465167
Loyola University New Orleans,-90.12088179999999,29.93477949999999
Lubbock Christian University,-101.9347637,33.5733111
Luther College,-91.8062533,43.311063
Lycoming College,-77.000181,41.24601800000001
Lynchburg College,-79.183153,37.4006
Lyndon State College,-72.025198,44.5355567
Lynn University,-80.1249514,26.3842258
Macalester College,-93.16904339999999,44.9378927
Madonna University,-83.4062995,42.3857893
Malone University,-81.3783011,40.8269448
Manchester University,-85.76043,41.0112128
Manhattan College,-73.90106229999999,40.8899623
Manhattanville College,-73.7126803,41.0304301
Mansfield University of Pennsylvania,-77.07042799999999,41.8047541
Marian University,-86.20315389999999,39.8141302
Marietta College,-81.44993509999999,39.41665649999999
Marist College,-73.9341204,41.7224565
Marquette University,-87.93044549999999,43.038473
Mars Hill University,-82.55204189999999,35.8265111
Marshall University,-82.4263138,38.4235332
Mary Baldwin College,-79.069256,38.15387
Marygrove College,-83.15517690000001,42.4168768
Maryland Institute College of Art,-76.62163389999999,39.307555
Marymount Manhattan College,-73.9597198,40.76874189999999
Marymount University,-77.128824,38.9055514
Maryville College,-83.96416339999999,35.7514166
Maryville University of Saint Louis,-90.504679,38.644986
Marywood University,-75.6324234,41.43513189999999
Massachusetts College of Art and Design,-71.09964769999999,42.3364749
Massachusetts College of Liberal Arts,-73.1033372,42.691554
Massachusetts Institute of Technology,-71.09416,42.360091
Massachusetts Maritime Academy,-70.6239579,41.7401719
McDaniel College,-77.00371919999999,39.5829905
McKendree University,-89.81443440000001,38.60841610000001
McMurry University,-99.749702,32.43038
McNeese State University,-93.21562899999999,30.17836569999999
MCPHS University,-71.10165409999999,42.3366034
Medaille College,-78.8559545,42.928608
Mercer University,-83.64977689999999,32.8288186
Mercy College,-73.87453909999999,41.0221144
Mercyhurst University,-80.05365929999999,42.10507030000001
Meredith College,-78.68848229999999,35.7989768
Merrimack College,-71.12257050000001,42.6677049
Messiah College,-76.9882272,40.1579079
Methodist University,-78.8682792,35.1314591
Metropolitan State University,-93.07436340000001,44.9575497
Metropolitan State University of Denver,-105.0062192,39.7431133
Miami University-Oxford,-84.73087679999999,39.5105334
Michigan Jewish Institute,-83.23932820000002,42.4591785
Michigan State University,-84.4821719,42.701848
Michigan Technological University,-88.54602179999999,47.11677479999999
MidAmerica Nazarene University,-94.7823676,38.8760668
Middle Georgia State College,-83.7328869,32.8105025
Middle Tennessee State University,-86.3648813,35.8486105
Middlebury College,-73.17726019999999,44.0082847
Midland University,-96.4897867,41.43751200000001
Midway College,-84.6772838,38.1445736
Midwestern State University,-98.5210165,33.8743726
Millersville University of Pennsylvania,-76.3527392,39.9987943
Millikin University,-88.9747348,39.843079
Milwaukee School of Engineering,-87.9084479,43.0440495
Minnesota State University-Mankato,-93.99948610000001,44.1458114
Minnesota State University-Moorhead,-96.76101910000001,46.8671955
Minot State University,-101.3010949,48.2476808
Misericordia University,-75.9707268,41.345197
Mississippi College,-90.33174,32.3381241
Mississippi State University,-88.79437659999999,33.4551742
Mississippi University for Women,-88.4187196,33.4947079
Mississippi Valley State University,-90.3416715,33.5126982
Missouri Baptist University,-90.46325680000001,38.6415281
Missouri Southern State University,-94.4606913,37.0958999
Missouri State University-Springfield,-93.2806806,37.2005546
Missouri University of Science and Technology,-91.7756271,37.9537078
Missouri Valley College,-93.19042960000002,39.10714240000001
Molloy College,-73.6263933,40.6859799
Monmouth College,-90.6386297,40.9135265
Monmouth University,-74.0058114,40.2804557
Montana State University,-111.048817,45.666695
Montana State University-Northern,-109.6880953,48.5408648
Montana Tech of the University of Montana,-112.557698,46.0123464
Montclair State University,-74.19780879999999,40.8622558
Moody Bible Institute,-87.6329598,41.8974099
Moravian College,-75.38135179999999,40.6310336
Morehead State University,-83.4315122,38.1886162
Morehouse College,-84.4155845,33.7474168
Morgan State University,-76.5843847,39.3437959
Morningside College,-96.3585355,42.4733866
Mount Holyoke College,-72.5761394,42.2532535
Mount Ida College,-71.193448,42.294262
Mount Mercy University,-91.6522379,42.0027013
Mount Olive College,-78.0711372,35.2082274
Mount Saint Mary College,-74.0124836,41.5130521
Mount St Mary's College,-77.3490013,39.6807058
Mount St Mary's University,-77.3490013,39.6807058
Mount Vernon Nazarene University,-82.47025219999999,40.3740929
Muhlenberg College,-75.5101316,40.597544
Murray State University,-88.3214979,36.6163842
Muskingum University,-81.7378895,39.9996605
National Louis University,-87.6252047,41.8796299
Nazareth College,-77.520027,43.1030175
Nebraska Wesleyan University,-96.64759649999999,40.838785
Neumann University,-75.44025859999999,39.8758871
Nevada State College,-114.9386542,35.98330869999999
New England College,-71.8226523,43.177062
New Jersey City University,-74.08765629999999,40.70966200000001
New Jersey Institute of Technology,-74.1793409,40.7423345
New Mexico Institute of Mining and Technology,-106.905611,34.065993
New Mexico State University-Main Campus,-106.7479059,32.2787745
New York Institute of Technology,-73.9825863,40.7696926
New York University,-73.9964609,40.72951339999999
Newberry College,-81.6219227,34.2861075
Newman University,-97.37774399999999,37.673508
Niagara University,-79.0349955,43.1369816
Nicholls State University,-90.8028602,29.7907423
Nichols College,-71.93086509999999,42.04486199999999
Norfolk State University,-76.262085,36.8480161
North Carolina A & T State University,-79.77292419999999,36.0806927
North Carolina Central University,-78.8981013,35.974737
North Carolina State University at Raleigh,-78.6820946,35.7846633
North Carolina Wesleyan College,-77.77421850000002,36.0186234
North Central College,-88.14340709999999,41.772834
North Central University,-93.2613429,44.9693757
North Dakota State University-Main Campus,-96.8031712,46.8962434
North Greenville University,-82.37324219999999,35.0658084
North Park University,-87.71060779999999,41.9747121
Northeastern Illinois University,-87.7182002,41.9805024
Northeastern State University,-94.965904,35.921141
Northeastern University,-71.0891717,42.3398067
Northern Arizona University,-111.654093,35.1876457
Northern Illinois University,-88.774069,41.934233
Northern Kentucky University,-84.4625345,39.0312035
Northern Michigan University,-87.4044868,46.55960320000001
Northern State University,-98.4844923,45.4510995
Northwest Missouri State University,-94.8825243,40.3519854
Northwest Nazarene University,-116.5666261,43.56124310000001
Northwest University,-122.1924837,47.6576921
Northwestern College,-96.0582598,42.9979484
Northwestern Oklahoma State University,-98.66823430000001,36.79511919999999
